Rank,Movie Title,Year of Release,IMDB Rating
N/A,Gone with the Wind,1939,8.2
N/A,The Secret in Their Eyes,2009,8.2
N/A,Chinatown,1974,8.1
N/A,"Lock, Stock and Two Smoking Barrels",1998,8.1
N/A,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,8.5
N/A,V for Vendetta,2005,8.1
N/A,Rashomon,1950,8.1
N/A,Inside Out,2015,8.1
N/A,Catch Me If You Can,2002,8.1
N/A,"Three Billboards Outside Ebbing, Missouri",2017,8.1
N/A,Trainspotting,1996,8.1
N/A,The Bridge on the River Kwai,1957,8.1
N/A,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
N/A,Fargo,1996,8.1
N/A,Raging Bull,1980,8.1
N/A,Warrior,2011,8.1
N/A,The Wild Robot,2024,8.2
N/A,Dead Poets Society,1989,8.1
N/A,Million Dollar Baby,2004,8.1
N/A,Ben-Hur,1959,8.1
N/A,Barry Lyndon,1975,8.1
N/A,Mad Max: Fury Road,2015,8.1
N/A,Gran Torino,2008,8.1
N/A,My Neighbor Totoro,1988,8.1
N/A,Children of Heaven,1997,8.2
N/A,Hacksaw Ridge,2016,8.1
N/A,The Grand Budapest Hotel,2014,8.1
N/A,12 Years a Slave,2013,8.1
N/A,Before Sunrise,1995,8.1
N/A,Blade Runner,1982,8.1
N/A,Spider-Man: No Way Home,2021,8.2
N/A,Memories of Murder,2003,8.1
N/A,Ratatouille,2007,8.1
N/A,How to Train Your Dragon,2010,8.1
N/A,Gone Girl,2014,8.1
N/A,"Monsters, Inc.",2001,8.1
N/A,Jaws,1975,8.1
N/A,In the Name of the Father,1993,8.1
N/A,Ford v Ferrari,2019,8.1
N/A,Wild Tales,2014,8.1
N/A,The Gold Rush,1925,8.1
N/A,Sherlock Jr.,1924,8.1
N/A,Mary and Max,2009,8.1
N/A,The Deer Hunter,1978,8.1
N/A,The Wages of Fear,1953,8.1
N/A,The General,1926,8.1
N/A,Logan,2017,8.1
Mr,Smith Goes to Washington,1939,8.1
N/A,Rocky,1976,8.1
N/A,On the Waterfront,1954,8.1
N/A,Wild Strawberries,1957,8.1
N/A,Tokyo Story,1953,8.1
N/A,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
N/A,The Third Man,1949,8.1
N/A,Spotlight,2015,8.1
N/A,Maharaja,2024,8.3
N/A,The Terminator,1984,8.1
N/A,La haine,1995,8.1
N/A,Jai Bhim,2021,8.6
N/A,The Big Lebowski,1998,8.1
N/A,The Seventh Seal,1957,8.1
N/A,Room,2015,8.1
N/A,The Sound of Music,1965,8.1
N/A,The Best Years of Our Lives,1946,8.1
N/A,Hotel Rwanda,2004,8.1
N/A,Platoon,1986,8.1
N/A,Before Sunset,2004,8.1
N/A,A Silent Voice: The Movie,2016,8.2
N/A,The Incredibles,2004,8.0
N/A,One Battle After Another,2025,8.1
N/A,The Exorcist,1973,8.1
N/A,Hachi: A Dog's Tale,2009,8.1
N/A,Rush,2013,8.1
N/A,The Wizard of Oz,1939,8.1
N/A,Stand by Me,1986,8.1
N/A,The Iron Giant,1999,8.1
N/A,The Passion of Joan of Arc,1928,8.1
N/A,My Father and My Son,2005,8.2
N/A,The Battle of Algiers,1966,8.1
N/A,The Handmaiden,2016,8.1
N/A,Network,1976,8.1
N/A,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2
N/A,The Grapes of Wrath,1940,8.1
N/A,To Be or Not to Be,1942,8.1
N/A,Gangs of Wasseypur,2012,8.2
N/A,Drishyam,2015,8.2
N/A,Andhadhun,2018,8.2
